Título;Autores;Data de publicação;Editora
Caminhos Errados VII;Aquilino Ribeiro;;
Campo de Concentração;Movimento Anarquista;;
Cantar de Novo;José Afonso;;
Canto Geral;Pablo Neruda;;
Cantos de Revolução;José Jorge Letria;;
Capelas das Almas;Alexandrino Brochado;;
Capitães da Areia;Jorge Amado;;
Capitão de Abril;Salgueiro Maia;;
Caracteres Chineses;Grafias E Alfabetos;;
Carmen;Georges Bizet;;
Carta Vária;Agostinho da Silva;;
Cartas da Prisão;José Magro;;
Cartas de Amor;Fernando Pessoa;;
Casa de Correcção;Urbano Tavares Rodrigues;;
Casa do Escorpião IX;Aquilino Ribeiro;;
Casas Pardas;Maria Velho Da Costa;;
Casório?!;Marian Keyes;;Bertrand
Catrina;Glória Marreiros;;
Catálogo de Postais Posters e Diapositivos;Bibloteca Nacional;;
Catálogo dos Livros;Domingos Mourato;;
Cavalgada Cinzenta;Fernando Namora;;
Caxias;Orlando Gonçalves;;
Caçador de Espiões;Peter Wright;;
Caçadores da Lua Vermelha;Marion Zimmer Bradley;;
Cebola;VARIOS AUTORES;;
Cem Anos de Solidão;GABRIEL GARCIA MARQUEZ;;
Cem Mil Anos de Vida Quotidiana;Bertrand Editora;;
Cem Obras Primas da Pintura Europeia;Livros RTP;;
Cem Poemas de Sophia;Sophia De Mello Breyner Andresen;;
Chave de Entendimento para uma Sinfonia Perdida;Patrícia Reis;;
Che;Manuel Alegre;;
Che Guevara;Ricardo Costa;;
Chegar Novo a Velho - Receitas;Manuel Pinto Coelho;;
Chile   Livro Negro;Edições Liber;;
Cinco Reis de Gente XIII;Aquilino Ribeiro;;
Cinco Semanas em Balão;Júlio Verne;;
Citações de Américo Tomaz;Abilio Belo Marques;;
Citações de Vasco Gonçalves;Serafim Ferreira;;
Citações e Pensamentos de Agostinho da Silva;Agostinho da Silva;11/2009;
Citações e Pensamentos de Florbela Espanca;Paulo Neves da Silva e Florbela Espanca;;Casa das Letras
Cobra;Herberto Hélder;;
Cocktails & Shots;VARIOS AUTORES;;
Colectânea;Poetas Do Barreiro;;
Como Apreciar a Arte;Bernard Myers;;Editora Grolier
Como Dei com o Meu Psiquiatra em Louco;Isabel Stilwell;01/01/2000;
Como Fazer Tudo;Readers Digest;;
Como Seduzir as Mulheres;Eric Weber, Molly Cochran;;
Compasso de Tempo;Humberto Delgado;;
Comunidades e Cooperativas;Revista A Ideia, Amigos Da Terra;;
Conduz o Teu Arado sobre os Ossos dos Mortos;Olga Tokarczuk;;Cavalo de Ferro
Confesso que Vivi;Pablo Neruda;;
Conhecimento do inferno;ANTONIO LOBO ANTUNES;;DOM QUIXOTE
Constantino Guardador de Vacas e Sonhos;Alves Redol;;
Constituição da República Portuguesa  1976;Impresa Nacional Casa Da Moeda;;
Constituição da República Portuguesa 1989;Edições Sílabo;;
Constituição de uma Cooperativa;Fotocópia;;
Constituição Política da República Portuguesa;Impresa Nacional Casa Da Moeda;;
Consumo Ecológico;Deco Pro Teste;;
Conta as tuas Bênçãos;Sheryl Ellis;;
Contos;José Luís Peixoto;;
Contos;O. Henry;;
Contos a Moda do Porto;Miguel Miranda;;
Contos Almadenses;Fernando De Jesus Filipe;;
Contos Bárbaros;João De Araújo Correia;;
Contos da Montanha;Miguel Torga;;
Contos de Natal;Charles Dickens;;
Contos do Gin Tonic;Mário Henrique Leiria;;
Contos e Novelas;José Almada Negreiros;;
Contos Exemplares;Sophia De Mello Breyner Andresen;;
Contos para Adultos;H. Christian Andersen;;
Contos Policiais;Fernando Pessoa;;
Contos Populares Brasileiros;Lindolfo Gomes;;
Contos Populares Chineses;VARIOS AUTORES;;
Conversa na Catedral;Mario Vargas Llosa;;
Cooltura;Anarca;;
Cooltura   94;N Um;;
Coração Acordeão;Alexandre O' Neill;;
Corações Doloridos;Jorge Ohnet;;
Coreia do Norte.... O Alvo mais Forte;Grande Reportagem;;
Corezine;A;;
Cortes;Almeida Faria;;
Corão;Allah;;
Cosmos;Carl Sagan;;
Cozinha dos Ganhoes;VARIOS AUTORES;;
Cozinha Tradicional Portuguesa;Maria De Lourdes Modesto;;
Cozinhar no Microondas;VARIOS AUTORES;;
